iso3,year,com,attrib,dcha,n_candidates
AGO,2016,1,1,1,1
AGO,2022,1,1,0,1
AND,2020,1,0,0,2
AND,2021,1,0,0,2
AND,2022,1,1,0,2
ARE,2020,1,0,0,1
ARE,2021,1,0,0,1
ARG,2021,1,0,0,1
ARM,2021,1,0,0,1
ATG,2009,1,0,0,1
ATG,2014,1,0,0,1
ATG,2018,1,1,0,1
ATG,2020,1,1,0,3
ATG,2021,1,1,1,8
ATG,2023,1,0,0,1
ATG,2024,1,1,0,1
AUS,2016,1,0,0,1
AUS,2017,1,0,0,1
AUS,2019,1,0,0,2
AUT,2022,1,0,0,1
AZE,2023,1,0,0,1
BDI,2020,1,1,0,2
BDI,2024,1,1,0,2
BEL,2018,1,0,0,1
BEL,2020,1,1,1,1
BEL,2021,1,1,0,1
BEN,2007,1,1,0,1
BEN,2023,1,0,0,1
BFA,2007,1,1,1,1
BFA,2019,1,0,0,1
BFA,2021,1,0,0,1
BFA,2022,1,1,0,2
BGD,2012,1,0,0,1
BGD,2020,1,1,0,1
BGD,2021,1,1,0,1
BGD,2022,1,0,0,1
BGR,2011,1,1,1,1
BGR,2020,1,0,0,1
BGR,2021,1,1,0,1
BGR,2022,1,1,0,2
BGR,2024,1,0,0,1
BHR,2009,1,0,0,1
BHR,2011,1,0,0,1
BHR,2014,1,0,0,1
BHR,2015,1,0,0,1
BHR,2023,1,0,0,2
BHS,1995,1,0,0,1
BHS,2015,1,0,0,1
BHS,2022,1,0,0,1
BIH,2016,1,1,0,2
BLR,2016,1,1,0,1
BLR,2018,1,1,0,1
BLR,2023,1,0,0,1
BLZ,2011,1,0,0,1
BLZ,2014,1,0,0,1
BLZ,2015,1,1,1,1
BLZ,2016,1,0,0,1
BLZ,2019,1,0,0,1
BLZ,2020,1,0,0,2
BLZ,2021,1,0,0,2
BLZ,2022,1,1,0,2
BOL,2021,1,1,1,1
BOL,2024,1,1,0,2
BRA,2005,1,0,0,1
BRA,2023,1,1,0,1
BRA,2024,1,1,0,2
BRB,2009,1,0,0,1
BRB,2011,1,0,0,1
BRB,2018,1,0,0,1
BRB,2020,1,0,0,1
BRB,2022,1,0,0,5
BRB,2024,1,1,1,2
BRN,2014,1,1,0,1
BRN,2015,1,0,0,1
BRN,2017,1,1,1,1
BRN,2021,1,0,0,1
BRN,2022,1,1,0,1
BTN,1991,1,1,1,1
BTN,2021,1,1,0,1
BTN,2023,1,1,1,1
BWA,2007,1,0,0,1
BWA,2008,1,0,0,1
BWA,2012,1,1,0,1
BWA,2013,1,1,1,2
BWA,2015,1,1,1,1
BWA,2019,1,1,0,1
BWA,2020,1,0,0,1
BWA,2021,1,0,0,1
BWA,2022,1,1,0,1
BWA,2023,1,0,0,1
CAF,2020,1,0,0,1
CAF,2022,1,0,0,1
CAN,2010,1,0,0,1
CAN,2014,1,0,0,1
CAN,2019,1,0,0,1
CAN,2020,1,0,0,1
CAN,2021,1,1,0,1
CAN,2022,1,0,0,2
CHE,2018,1,0,0,1
CHE,2022,1,0,0,1
CHL,2010,1,0,0,1
CHL,2011,1,0,0,1
CHL,2014,1,0,0,1
CHL,2019,1,1,0,1
CHL,2020,1,1,0,1
CHL,2023,1,0,0,1
CHL,2024,1,0,0,1
CHN,2009,1,0,0,2
CHN,2014,1,0,0,1
CIV,2014,1,0,0,1
CIV,2015,1,1,0,2
CIV,2019,1,1,1,2
CIV,2021,1,1,0,1
CMR,2009,1,1,1,1
CMR,2023,1,0,0,1
COD,2013,1,1,0,1
COD,2022,1,0,0,2
COD,2023,1,1,0,3
COG,2014,1,0,0,1
COG,2024,1,0,0,1
COL,2021,1,1,0,2
COM,2016,1,1,0,1
COM,2018,1,1,1,1
CPV,2010,1,0,0,1
CPV,2012,1,0,0,1
CPV,2013,1,0,0,1
CPV,2021,1,1,0,1
CPV,2022,1,0,0,1
CPV,2023,1,0,0,2
CPV,2024,1,0,0,1
CRI,2013,1,0,0,1
CRI,2017,1,0,0,1
CRI,2020,1,0,0,2
CRI,2021,1,1,0,2
CRI,2022,1,0,0,1
CUB,2009,1,1,0,1
CUB,2021,1,0,0,1
CYP,2008,1,0,0,1
CYP,2009,1,0,0,1
CYP,2010,1,1,0,2
CYP,2022,1,1,0,1
CZE,2018,1,0,0,1
CZE,2022,1,0,0,2
DEU,2019,1,0,0,1
DEU,2021,1,0,0,1
DEU,2022,1,0,0,1
DEU,2023,1,0,0,1
DJI,2020,1,1,1,3
DJI,2022,1,0,0,1
DMA,2003,1,1,0,1
DMA,2012,1,0,0,1
DMA,2021,1,0,0,1
DMA,2022,1,0,0,3
DNK,2008,1,0,0,1
DNK,2014,1,1,1,1
DNK,2016,1,0,0,1
DNK,2022,1,0,0,2
DOM,2021,1,1,0,1
ECU,2008,1,0,0,1
ECU,2023,1,0,0,1
EGY,2008,1,1,0,1
EGY,2009,1,0,0,1
EGY,2017,1,0,0,1
ERI,2021,1,1,0,1
ESP,2019,1,0,0,1
ESP,2020,1,1,0,3
ESP,2021,1,1,0,3
EST,2021,1,0,0,1
EST,2022,1,1,0,1
FIN,1989,1,1,0,1
FIN,2010,1,0,0,1
FIN,2022,1,1,0,2
FIN,2023,1,0,0,1
FJI,1995,1,1,0,1
FJI,2009,1,0,0,1
FJI,2017,1,0,0,1
FJI,2018,1,0,0,1
FJI,2019,1,1,0,2
FJI,2020,1,0,0,5
FJI,2021,1,1,0,1
FJI,2022,1,1,1,2
FJI,2023,1,1,1,1
FRA,2019,1,0,0,2
FRA,2020,1,0,0,1
FRA,2022,1,0,0,1
FRA,2024,1,0,0,1
FSM,2012,1,1,0,1
FSM,2014,1,1,1,2
FSM,2015,1,0,0,1
FSM,2016,1,0,0,1
FSM,2020,1,0,0,1
FSM,2021,1,0,0,3
FSM,2023,1,1,1,3
FSM,2024,1,1,1,2
GAB,2015,1,0,0,1
GAB,2023,1,1,0,1
GBR,1996,1,0,0,1
GBR,2015,1,0,0,1
GBR,2021,1,0,0,1
GBR,2023,1,1,0,2
GBR,2024,1,1,0,1
GEO,2019,1,0,0,1
GEO,2022,1,0,0,2
GHA,2010,1,0,0,1
GIN,2021,1,1,0,1
GMB,2011,1,0,0,1
GMB,2012,1,0,0,1
GMB,2019,1,0,0,1
GMB,2020,1,0,0,1
GMB,2021,1,0,0,3
GMB,2024,1,1,1,1
GNB,2024,1,1,1,1
GNQ,2008,1,0,0,1
GNQ,2011,1,1,0,1
GNQ,2017,1,0,0,1
GNQ,2023,1,1,0,1
GNQ,2024,1,1,0,1
GRD,2018,1,1,0,2
GRD,2020,1,1,0,1
GRD,2021,1,0,0,4
GTM,2022,1,0,0,1
GUY,2020,1,1,0,2
GUY,2021,1,1,0,1
GUY,2022,1,1,0,3
GUY,2023,1,1,0,1
HND,2020,1,1,0,2
HND,2021,1,0,0,1
HRV,2004,1,0,0,1
HRV,2008,1,0,0,1
HRV,2018,1,0,0,1
HRV,2024,1,0,0,1
IDN,2024,1,1,0,1
IND,2014,1,0,0,1
IND,2021,1,0,0,1
IND,2023,1,0,0,1
IRL,2018,1,0,0,1
IRL,2019,1,1,1,2
IRL,2021,1,0,0,2
IRL,2022,1,0,0,1
IRQ,2015,1,0,0,1
IRQ,2019,1,0,0,1
IRQ,2020,1,0,0,1
IRQ,2021,1,1,0,1
ISL,2007,1,1,0,1
ISL,2011,1,1,0,2
ISL,2019,1,0,0,1
ISL,2020,1,0,0,1
ISL,2021,1,0,0,2
ISL,2022,1,1,0,1
ISL,2024,1,1,1,1
ISR,2016,1,0,0,1
ITA,2016,1,0,0,1
ITA,2020,1,1,0,2
ITA,2021,1,1,0,2
ITA,2022,1,0,0,1
JAM,2008,1,0,0,1
JAM,2011,1,0,0,1
JAM,2012,1,0,0,1
JAM,2020,1,0,0,1
JAM,2022,1,0,0,3
JAM,2023,1,0,0,2
JOR,2007,1,0,0,1
JOR,2009,1,1,0,1
JOR,2021,1,0,0,1
JOR,2022,1,0,0,1
JPN,1989,1,1,1,1
JPN,2022,1,0,0,1
JPN,2023,1,0,0,1
KAZ,2022,1,1,0,1
KEN,2009,1,1,0,1
KEN,2014,1,0,0,1
KEN,2020,1,1,0,1
KEN,2021,1,0,0,1
KEN,2022,1,0,0,2
KEN,2024,1,1,0,1
KGZ,2000,1,1,0,1
KGZ,2021,1,0,0,1
KGZ,2024,1,0,0,1
KHM,2007,1,0,0,1
KHM,2017,1,1,1,1
KHM,2020,1,0,0,1
KHM,2024,1,1,0,1
KIR,2004,1,0,0,1
KIR,2014,1,0,0,2
KIR,2015,1,0,0,2
KIR,2016,1,0,0,1
KIR,2020,1,0,0,1
KIR,2023,1,1,0,2
KIR,2024,1,0,0,1
KNA,2012,1,0,0,1
KNA,2013,1,0,0,1
KNA,2017,1,0,0,1
KNA,2018,1,1,0,3
KNA,2020,1,0,0,1
KNA,2022,1,1,0,1
KNA,2023,1,0,0,1
KOR,2012,1,0,0,1
KOR,2015,1,1,0,1
KOR,2016,1,0,0,1
KOR,2020,1,0,0,1
KOR,2021,1,0,0,1
KWT,2011,1,0,0,1
KWT,2012,1,1,1,1
KWT,2018,1,1,0,1
KWT,2020,1,1,0,2
KWT,2022,1,0,0,1
LAO,2003,1,0,0,1
LAO,2004,1,0,0,1
LAO,2015,1,1,0,1
LAO,2019,1,1,0,2
LAO,2020,1,1,0,1
LBN,2023,1,0,0,1
LBR,2022,1,0,0,2
LBR,2024,1,1,0,2
LBY,1989,1,0,0,1
LBY,2009,1,0,0,1
LCA,2008,1,1,1,1
LCA,2010,1,0,0,1
LCA,2018,1,0,0,1
LCA,2020,1,1,0,3
LCA,2021,1,0,0,2
LCA,2024,1,1,0,1
LIE,2020,1,0,0,2
LIE,2022,1,0,0,1
LKA,2021,1,1,0,3
LKA,2023,1,1,0,1
LSO,2014,1,0,0,1
LSO,2016,1,1,0,1
LSO,2019,1,0,0,1
LSO,2020,1,0,0,1
LSO,2022,1,0,0,2
LSO,2023,1,1,0,1
LSO,2024,1,1,0,2
LTU,2020,1,0,0,1
LTU,2022,1,0,0,1
LTU,2023,1,1,0,1
LUX,1995,1,0,0,1
LUX,2021,1,0,0,1
LUX,2023,1,0,0,1
LVA,2008,1,0,0,1
MAR,2020,1,0,0,1
MAR,2021,1,0,0,1
MAR,2023,1,0,0,1
MCO,2014,1,1,1,1
MCO,2015,1,0,0,1
MCO,2019,1,1,1,1
MCO,2020,1,1,0,2
MDA,2009,1,0,0,1
MDA,2019,1,1,1,1
MDA,2021,1,0,0,1
MDG,2008,1,1,0,2
MDG,2018,1,0,0,1
MDG,2021,1,0,0,1
MDV,2014,1,0,0,1
MDV,2022,1,1,0,1
MDV,2023,1,0,0,1
MEX,2014,1,0,0,1
MEX,2023,1,0,0,1
MHL,1999,1,0,0,1
MHL,2004,1,1,0,1
MHL,2014,1,0,0,1
MHL,2017,1,0,0,1
MHL,2018,1,0,0,1
MHL,2019,1,1,0,2
MHL,2020,1,1,0,2
MHL,2024,1,0,0,1
MKD,2020,1,1,0,1
MKD,2021,1,0,0,1
MKD,2024,1,0,0,1
MLI,2016,1,0,0,1
MLI,2022,1,0,0,1
MLT,2020,1,0,0,1
MLT,2021,1,1,0,1
MLT,2022,1,0,0,1
MNE,2009,1,0,0,2
MNE,2021,1,1,0,2
MNG,2009,1,0,0,1
MNG,2020,1,1,0,1
MNG,2021,1,1,0,1
MNG,2022,1,0,0,2
MNG,2023,1,1,0,2
MNG,2024,1,1,0,3
MOZ,2020,1,0,0,1
MOZ,2023,1,1,1,1
MRT,2011,1,0,0,1
MRT,2013,1,0,0,1
MRT,2019,1,0,0,1
MRT,2020,1,0,0,1
MRT,2021,1,0,0,1
MRT,2022,1,0,0,1
MRT,2024,1,0,0,1
MUS,2006,1,1,1,2
MUS,2020,1,1,0,1
MUS,2022,1,1,0,1
MUS,2023,1,0,0,1
MWI,2014,1,0,0,1
MWI,2015,1,0,0,1
MWI,2018,1,1,1,1
MWI,2020,1,0,0,2
MWI,2022,1,0,0,1
MYS,2021,1,0,0,1
MYS,2024,1,0,0,1
NAM,2020,1,1,0,2
NAM,2021,1,1,0,1
NAM,2022,1,0,0,1
NAM,2023,1,1,0,2
NER,2013,1,1,1,1
NER,2014,1,1,0,1
NER,2019,1,0,0,1
NER,2020,1,0,0,1
NER,2021,1,1,0,2
NER,2022,1,0,0,1
NGA,2015,1,0,0,2
NGA,2021,1,1,0,1
NGA,2024,1,0,0,1
NIC,2014,1,0,0,1
NIC,2015,1,0,0,1
NIC,2019,1,0,0,1
NIC,2020,1,1,0,2
NIC,2021,1,1,0,2
NLD,2019,1,1,1,1
NOR,2017,1,0,0,1
NOR,2018,1,0,0,1
